X,Y,Z,Classification
0.000,0.000,0.000,0
1.000,0.000,0.000,1
2.000,0.000,0.000,2
3.000,0.000,0.000,3
4.000,0.000,0.000,4
5.000,0.000,0.000,5
6.000,0.000,0.000,6
7.000,0.000,0.000,7
9.000,0.000,0.000,9
10.000,0.000,0.000,10
11.000,0.000,0.000,11
13.000,0.000,0.000,13
14.000,0.000,0.000,14
15.000,0.000,0.000,15
17.000,0.000,0.000,17
18.000,0.000,0.000,18
64.000,0.000,0.000,64
65.000,0.000,0.000,65
66.000,0.000,0.000,66
67.000,0.000,0.000,67
68.000,0.000,0.000,68
69.000,0.000,0.000,69
70.000,0.000,0.000,70
71.000,0.000,0.000,71
72.000,0.000,0.000,72
73.000,0.000,0.000,73
74.000,0.000,0.000,74
75.000,0.000,0.000,75
76.000,0.000,0.000,76
77.000,0.000,0.000,77
78.000,0.000,0.000,78
79.000,0.000,0.000,79
80.000,0.000,0.000,80
81.000,0.000,0.000,81
82.000,0.000,0.000,82
83.000,0.000,0.000,83
84.000,0.000,0.000,84
85.000,0.000,0.000,85
86.000,0.000,0.000,86
87.000,0.000,0.000,87
88.000,0.000,0.000,88
89.000,0.000,0.000,89
90.000,0.000,0.000,90
91.000,0.000,0.000,91
92.000,0.000,0.000,92
93.000,0.000,0.000,93
94.000,0.000,0.000,94
95.000,0.000,0.000,95
96.000,0.000,0.000,96
97.000,0.000,0.000,97
98.000,0.000,0.000,98
99.000,0.000,0.000,99
100.000,0.000,0.000,100
101.000,0.000,0.000,101
102.000,0.000,0.000,102
103.000,0.000,0.000,103
104.000,0.000,0.000,104
105.000,0.000,0.000,105
106.000,0.000,0.000,106
107.000,0.000,0.000,107
108.000,0.000,0.000,108
109.000,0.000,0.000,109
110.000,0.000,0.000,110
111.000,0.000,0.000,111
112.000,0.000,0.000,112
113.000,0.000,0.000,113
114.000,0.000,0.000,114
115.000,0.000,0.000,115
116.000,0.000,0.000,116
117.000,0.000,0.000,117
118.000,0.000,0.000,118
119.000,0.000,0.000,119
120.000,0.000,0.000,120
121.000,0.000,0.000,121
122.000,0.000,0.000,122
123.000,0.000,0.000,123
124.000,0.000,0.000,124
125.000,0.000,0.000,125
126.000,0.000,0.000,126
127.000,0.000,0.000,127
128.000,0.000,0.000,128
129.000,0.000,0.000,129
130.000,0.000,0.000,130
131.000,0.000,0.000,131
132.000,0.000,0.000,132
133.000,0.000,0.000,133
134.000,0.000,0.000,134
135.000,0.000,0.000,135
136.000,0.000,0.000,136
137.000,0.000,0.000,137
138.000,0.000,0.000,138
139.000,0.000,0.000,139
140.000,0.000,0.000,140
141.000,0.000,0.000,141
142.000,0.000,0.000,142
143.000,0.000,0.000,143
144.000,0.000,0.000,144
145.000,0.000,0.000,145
146.000,0.000,0.000,146
147.000,0.000,0.000,147
148.000,0.000,0.000,148
149.000,0.000,0.000,149
150.000,0.000,0.000,150
151.000,0.000,0.000,151
152.000,0.000,0.000,152
153.000,0.000,0.000,153
154.000,0.000,0.000,154
155.000,0.000,0.000,155
156.000,0.000,0.000,156
157.000,0.000,0.000,157
158.000,0.000,0.000,158
159.000,0.000,0.000,159
160.000,0.000,0.000,160
161.000,0.000,0.000,161
162.000,0.000,0.000,162
163.000,0.000,0.000,163
164.000,0.000,0.000,164
165.000,0.000,0.000,165
166.000,0.000,0.000,166
167.000,0.000,0.000,167
168.000,0.000,0.000,168
169.000,0.000,0.000,169
170.000,0.000,0.000,170
171.000,0.000,0.000,171
172.000,0.000,0.000,172
173.000,0.000,0.000,173
174.000,0.000,0.000,174
175.000,0.000,0.000,175
176.000,0.000,0.000,176
177.000,0.000,0.000,177
178.000,0.000,0.000,178
179.000,0.000,0.000,179
180.000,0.000,0.000,180
181.000,0.000,0.000,181
182.000,0.000,0.000,182
183.000,0.000,0.000,183
184.000,0.000,0.000,184
185.000,0.000,0.000,185
186.000,0.000,0.000,186
187.000,0.000,0.000,187
188.000,0.000,0.000,188
189.000,0.000,0.000,189
190.000,0.000,0.000,190
191.000,0.000,0.000,191
192.000,0.000,0.000,192
193.000,0.000,0.000,193
194.000,0.000,0.000,194
195.000,0.000,0.000,195
196.000,0.000,0.000,196
197.000,0.000,0.000,197
198.000,0.000,0.000,198
199.000,0.000,0.000,199
200.000,0.000,0.000,200
201.000,0.000,0.000,201
202.000,0.000,0.000,202
203.000,0.000,0.000,203
204.000,0.000,0.000,204
205.000,0.000,0.000,205
206.000,0.000,0.000,206
207.000,0.000,0.000,207
208.000,0.000,0.000,208
209.000,0.000,0.000,209
210.000,0.000,0.000,210
211.000,0.000,0.000,211
212.000,0.000,0.000,212
213.000,0.000,0.000,213
214.000,0.000,0.000,214
215.000,0.000,0.000,215
216.000,0.000,0.000,216
217.000,0.000,0.000,217
218.000,0.000,0.000,218
219.000,0.000,0.000,219
220.000,0.000,0.000,220
221.000,0.000,0.000,221
222.000,0.000,0.000,222
223.000,0.000,0.000,223
224.000,0.000,0.000,224
225.000,0.000,0.000,225
226.000,0.000,0.000,226
227.000,0.000,0.000,227
228.000,0.000,0.000,228
229.000,0.000,0.000,229
230.000,0.000,0.000,230
231.000,0.000,0.000,231
232.000,0.000,0.000,232
233.000,0.000,0.000,233
234.000,0.000,0.000,234
235.000,0.000,0.000,235
236.000,0.000,0.000,236
237.000,0.000,0.000,237
238.000,0.000,0.000,238
239.000,0.000,0.000,239
240.000,0.000,0.000,240
241.000,0.000,0.000,241
242.000,0.000,0.000,242
243.000,0.000,0.000,243
244.000,0.000,0.000,244
245.000,0.000,0.000,245
246.000,0.000,0.000,246
247.000,0.000,0.000,247
248.000,0.000,0.000,248
249.000,0.000,0.000,249
250.000,0.000,0.000,250
251.000,0.000,0.000,251
